name,status,description,date,time
Aerq,Hiring freeze,,3/30/2020,6:56pm
Aetna,Hiring,,3/28/2020,6:29pm
Affinitiv,Hiring freeze,,3/30/2020,9:25pm
Affirm,Hiring freeze,Multiple reports of a hiring freeze. See below:,3/27/2020,6:35pm
Affirmed Networks,Hiring freeze,,3/31/2020,9:51pm
Afresh Technologies,Hiring,"Hiring for PM, ML Engineers, Senior Mobile, and various non-tech roles",3/31/2020,11:54am
Afterpay,Hiring,Actively hiring but slowed down.,3/28/2020,7:59pm
Afton Chemicals ,Hiring freeze,,3/30/2020,7:10am
agco,Hiring,,4/13/2020,6:38pm
Age of Learning ,Hiring,In the ed-tech space and rapidly hiring across several discipline areas to keep up with market demand for at home educational software. ,3/30/2020,3:16pm
Agenus,Layoffs,70 ,3/31/2020,9:48pm
"Agero, Inc",Hiring,Actively seeking development engineers ,4/7/2020,2:48pm
Agile Enterprise Solutions Inc,Hiring,,4/1/2020,2:53pm
Agilent Technologies,Hiring freeze,"All roles on hold, unless an offer has already been extended",4/1/2020,4:07pm
AgileOne,Layoffs,Multiple career levels being laid off - all the way up to VP Level,3/30/2020,1:31pm
AgileThought,Hiring freeze,,3/29/2020,6:50am
Agio,Hiring freeze,Company wide hiring freeze,3/31/2020,4:31pm
AGM,Hiring,"DevOPs engineer, Java Developers, Full Time MYSQL Architect",3/31/2020,2:57pm
Agoda.com,"Hiring freeze,Hiring",+1 report of hiring and +1 report of a hiring freeze.,4/14/2020,12:05pm
Agroni.co,Hiring,Developers,4/11/2020,11:32am
Aha!,Hiring,"Hiring all roles; full-time, 100% remote",3/31/2020,5:19pm
Ahlstrom Munksjo,Hiring,,4/6/2020,10:49am
Ahold Delhaize,Hiring,,4/5/2020,5:18pm
AIG,"Hiring freeze,Hiring","Reports of a hiring freeze, continued hiring, and claims of layoffs. See below:",4/5/2020,10:59am
ailleron,"Hiring,Hiring freeze",,4/6/2020,1:52pm
Aimpoint Digital ,Hiring,Optimization Expert and Data Scientists,4/5/2020,12:29pm
Air Canada,Hiring freeze,,4/7/2020,12:13pm
Air Liquide AM,Hiring freeze,,3/31/2020,2:16pm
Air Methods,Hiring freeze,IT,4/13/2020,12:54am
Air-tek,Hiring,"Software Developers, DevOps, Software Developers in Test, Data Engineers",4/9/2020,4:52pm
Airbnb,"Hiring freeze,Hiring",Multiple reports of continued hiring and a hiring freeze. See below:,4/14/2020,12:41pm
Airbus,"Hiring freeze,Hiring,Layoffs","Multiple reports of hiring, a hiring freeze, and claims of layoffs. See below:",4/6/2020,1:48pm
Aireon,Hiring,,4/13/2020,12:10pm
Airgas,Hiring freeze,Furloughs and salary increases on hold,4/2/2020,1:55pm
Airkit,Hiring,https://airkit.com/careers/,4/17/2020,4:53pm
Airtable,Hiring,Confirmed from multiple sources,3/27/2020,7:42pm
Airtasker,Hiring freeze,Freeze on all roles. Some offers are being frozen as well.,4/2/2020,9:31pm
Airtel,Hiring freeze,,3/31/2020,4:11am
AISommelier,Hiring,Data Scientists & Data Engineers,3/30/2020,6:43pm
Akamai Technologies,Hiring,Hiring as usual confirmed from multiple sources.,3/28/2020,6:40am
Akerna,Hiring freeze,,3/31/2020,2:54pm
AKQA,Hiring freeze,,4/3/2020,6:03pm
Akuna Capital,Hiring freeze,,3/30/2020,3:03pm
AkzoNobel,Hiring freeze,Global Hiring Freeze,4/1/2020,11:18pm
ALARA Logistics,Hiring,Operations and Warehousing,3/30/2020,1:50pm
Alaric Co,Hiring,Looking for EXPERTs.,4/3/2020,4:09pm
Alarm.com,Hiring,Reports of hiring. Details below:,3/29/2020,9:36pm
Alaska Airlines,"Hiring freeze,Hiring",Reports of a hiring freeze and hiring. See below:,4/10/2020,3:17pm
Alaska Botanical Garden,Hiring freeze,,4/9/2020,8:00pm
Alation,Hiring freeze,Since a few weeks back,4/13/2020,12:53pm
Albert,Hiring,https://jobs.lever.co/meetalbert/,3/31/2020,8:36pm
Albert Einstein College of Medicine,"Hiring freeze,Offers rescinded",Postdoctoral scientist offers rescinded,3/29/2020,9:24pm
Albert einstein medical college,Hiring,,4/1/2020,8:22pm
Alchemy ,Hiring,"Across all roles: Engineering, Product, Marketing, PR, Sales, Customer Support, etc.",4/13/2020,2:45pm
ALCOVA Mortgage,Hiring,Hiring as normal.,4/14/2020,8:51am
Aldi,Hiring,,3/30/2020,7:56am
aldo,Hiring freeze,,3/31/2020,7:01pm
"Alector, Inc",Hiring,,3/30/2020,2:01pm
Alegeus,Hiring freeze,The entire organization is having a temporary hiring freeze.,3/29/2020,7:19pm
Alert Logic,Hiring freeze,,3/30/2020,7:46pm
AlertMedia,Hiring,All roles- Apply here: https://boards.greenhouse.io/alertmedia,3/30/2020,10:52pm
Alexander Group,Offers rescinded,Read below:,3/29/2020,1:59pm
Alexander Mann Solutions,Hiring freeze,Specific teams where client has placed a hiring freeze; redundancy ,4/17/2020,4:27pm
Alexion,Hiring,,3/31/2020,2:53am
Algolia,Hiring freeze,Reassessing hiring needs,4/10/2020,4:28pm
Alibaba,Hiring,,3/31/2020,4:27am
alienvault ,Hiring,,4/8/2020,2:20pm
Aliera,Hiring,,3/30/2020,6:49pm
Alight,"Hiring freeze,Hiring",,4/6/2020,11:59am
Align Technology,Hiring freeze,Whole company,3/31/2020,9:51am
AlixPartners,"Hiring freeze,Hiring",Told they want to continue to the recruiting process for my role but will need to wait a few months. (4/3),4/6/2020,5:00pm
Alkermes ,Hiring,,4/2/2020,12:43am
All,Hiring,Project management ,4/9/2020,6:53pm
All Web Leads,Hiring,"Technology, Marketing, Sales, Policy Sales, Contact Center",3/30/2020,8:17pm
ALLCARGO,Hiring,FREIGHT FORWARDONG,4/8/2020,10:42am
"Allegiance Industries, Inc.",Hiring,"Electricians, Forklift Operator, Janitorial, Painter, Day Porter  positions in GA NC SC TN http://allegianceindustries.com/careers/",4/8/2020,12:40pm
Allegiant Travel,Hiring freeze,,4/1/2020,3:02pm
Allegion ,Hiring,,3/31/2020,4:17am
Allegis Global Solutions,Hiring freeze,,4/15/2020,9:55am
Allegis Group,Hiring,Hiring,3/30/2020,9:00am
Allegro.pl,Hiring,,3/31/2020,10:51am
Allen Institute for Artificial Intelligence,Hiring freeze,,4/3/2020,4:13pm
Allergan ,Hiring freeze,,3/31/2020,11:05pm
Alliance Bernstein ,Hiring freeze,Went through first round and was told by recruiter hiring freezes shortly after,3/30/2020,1:34am
Allianz,"Hiring freeze,Hiring",Reports of hiring and a hiring freeze. See below:,4/14/2020,1:04pm
ALLIED IRISH BANKS,Hiring,,4/8/2020,6:48am
Allied Universal Security,Hiring,Business site security guards. ,4/3/2020,7:24pm
ALLINA,Hiring,,4/1/2020,4:43pm
Allina Health,Hiring,Nurse,4/4/2020,11:55pm
Allnex ,Hiring freeze,,4/1/2020,11:46am
Alloy LED,Layoffs,furloughing and firing employees,3/31/2020,3:29pm
Allscripts,Hiring freeze,"multiple reports of hiring, hiring freeze, and layoffs",3/30/2020,6:29pm
Allset,Hiring,,3/30/2020,9:59am
Allstate,"Hiring,Hiring freeze",Multiple reports of continued hiring and a hiring freeze. See below:,4/12/2020,12:26am
Allvue Systems,Hiring,,4/1/2020,11:43pm
Ally,Hiring,,4/9/2020,11:34am
Alma,Hiring,"Hiring for a few roles (Operations Associate, Insurance Operations Biller (mental health), engineer manager, BDR) - full list here! https://boards.greenhouse.io/alma",4/6/2020,9:59am
Almanac,Hiring,"Growth, Design",4/17/2020,4:09pm
Alnylam ,Hiring freeze,"Hiring freeze across whole company, No layoffs",4/7/2020,3:12pm
Alpha HQ,Hiring,engineering,4/9/2020,1:20pm
Alpha Networks,Hiring freeze,,4/2/2020,11:41am
AlphaBEST Education,Hiring freeze,,3/31/2020,11:41am
AlphaSights,Hiring,"AlphaSights is still hiring Product and Client Service roles, virtual interviewing and onboarding, no in-person required. ",4/7/2020,3:42pm
Alphasights,"Hiring,Hiring freeze","senior role paused, in-person required. 1 report of hiring freeze.",4/7/2020,11:53am
Alphero,Layoffs,Vast reduction of entire web team,3/31/2020,8:30pm
ALSAC,"Hiring freeze,Hiring",,4/5/2020,10:17am
Alstom,Hiring,,4/14/2020,7:10pm
Altaflux  Corporation,Layoffs,,3/30/2020,4:00pm
Altair ,Hiring,,3/31/2020,3:34pm
Altar'd State,Hiring,,4/16/2020,4:08am
ALTEN,Layoffs,,3/31/2020,8:12am
Alterra Mountain Company,Hiring freeze,Hospitality Company,4/2/2020,12:50pm
Alteryx,"Hiring,Hiring freeze",1 report of hiring including Sales - Toronto. 1 report of hiring freeze.,4/6/2020,3:38pm
Altice USA,Hiring freeze,,4/3/2020,2:19pm
Altimetrik,Hiring,,3/30/2020,5:35am
Altisource,Layoffs,,3/30/2020,4:53pm
Altitude Networks,Hiring,,4/2/2020,2:04pm
Alto (Alto Pharmacy),Hiring,Company rep reached out and confirmed they are hiring. Another report said no roles are on hold. ,3/28/2020,3:49pm
ALTO Network,Hiring,All roles,3/30/2020,11:34pm
Alto shaam,Hiring freeze,,4/3/2020,10:33pm
Altonomy,Hiring,,4/1/2020,2:02am
Altoros,Hiring,,4/1/2020,6:32am
Altran,"Hiring freeze,Hiring",Altran NA is still hiring selectively.,4/5/2020,9:58am
Altria,Hiring,,4/14/2020,12:47am
Altus Assessments,Hiring,https://altusassessments.com/company/careers/#postings,4/8/2020,3:35pm
Altus Group,Hiring,61 openings as of 4/3/20 https://www.altusgroup.com/careers,4/3/2020,11:26am
Alvarez and Marsal,Hiring freeze,,4/6/2020,1:25pm
Alvarez and marsal,Hiring,,4/1/2020,7:06pm
Alyce,Hiring freeze,Not an employee but close with current staff. They will be filling the last few positions before entering a freeze.,3/30/2020,6:29pm
Ama,Hiring,,4/17/2020,2:23pm
Amadeus,"Hiring freeze,Hiring","Laying off contractors, will layoff more if situation does not improve",4/6/2020,1:24pm
Amazon,"Hiring,Hiring freeze",Multiple reports of hiring and a hiring freeze. Details below:,4/4/2020,2:31pm
Amazon Web Services,Hiring,"All roles, especially Cleared (TS or higher) www.amazon.jobs/awsclearedvets for cleared roles. One additional report of hiring with no note.",4/1/2020,1:11pm
Ambarella,Hiring freeze,,4/3/2020,2:06pm
Ambassador Software,Hiring,,3/31/2020,10:18am
AMBOSS,Hiring,,4/6/2020,11:30am
Ambra Health,Hiring,Engineering https://news.ycombinator.com/item?id=22753397,4/1/2020,4:56pm
ambright,Hiring,,3/31/2020,3:06pm
Ambush Consulting,Hiring,,4/1/2020,9:43am
Ambys,Hiring,,4/13/2020,9:00pm
AMC Entertainment,Hiring,+2 reports of hiring with no note,4/11/2020,10:28pm
AMD,"Hiring,Hiring freeze",Reports of a hiring freeze and hiring. See below:,4/4/2020,2:50pm
Amdocs,Hiring freeze,Interviewing for engineering role but was told all interviews on hold till covid situation clears (4/12).,4/13/2020,12:59pm
Ameren,Hiring freeze,,4/7/2020,8:11pm
American,Hiring,,4/1/2020,12:26pm
American Advisors Group (AAG),Hiring freeze,In the final stage of the interview process and was told there is a company wide freeze for 2 weeks. ,3/31/2020,1:16pm
American Airlines,"Layoffs,Hiring freeze",Reports of layoffs and a hiring freeze. See below:,3/28/2020,4:33pm
American Bankers Association ,Hiring,,4/3/2020,10:43pm
american campus,Hiring,,3/31/2020,2:51pm
American Cancer Society,Hiring freeze,multiple reports,4/2/2020,4:50pm
American Chemical Society (ACS),Hiring freeze,,3/31/2020,9:54am
American DataBank,Hiring freeze,,4/16/2020,5:02pm
American Eagle Outfitters,Hiring freeze,,3/31/2020,11:40am
American Enterprise Institute,Hiring,,4/15/2020,12:05pm
American Express (AMEX),Hiring freeze,Multiple reports of hiring and hiring freeze. Details below:,3/31/2020,10:08pm
American Family Insurance,Hiring,,4/7/2020,3:15pm
American Fidelity,Hiring,,3/30/2020,9:59pm
American Greetings,Hiring freeze,Company wide,4/4/2020,4:07pm
American Heart Association,Hiring freeze,Received note from Human Resources stating they are temporarily delaying a number of positions,3/31/2020,5:01pm
American Hotel Register,Hiring freeze,60% furlough ,4/1/2020,7:00pm
American Kennel Club,Hiring freeze,1 report of layoffs with no comment,3/31/2020,4:38pm
American Medical response,Hiring,,4/7/2020,10:47pm
American national,Hiring,,4/3/2020,10:19pm
American TelePhysicians,Hiring,,3/31/2020,9:07am
American University of the Caribbean School of Medicine,Hiring,,3/30/2020,1:08pm
Americold,Hiring,,4/1/2020,1:03pm
Ameriprise,Hiring,,4/2/2020,11:45am
Ameriprise Financial,Hiring,,4/6/2020,10:21am
AmerisourceBergen ,Hiring,,4/15/2020,11:00pm
Amf spa,Hiring,,4/4/2020,9:55am
Amgen,"Hiring freeze,Hiring",Reports of hiring and a hiring freeze. Details below:,4/9/2020,2:05pm
Amobee,Hiring,All roles.,3/30/2020,11:38am
Amount,Hiring freeze,2 reports,3/30/2020,11:13am
amp,Hiring,,4/3/2020,4:52pm
Ampere Computing,Hiring,https://amperecomputing.com/careers/,4/3/2020,6:43pm
Amphenol ,Hiring,,3/31/2020,4:15am
Amplero,Layoffs,Company shutting down completely,3/30/2020,8:02pm
Amplified IT,Hiring,"Product Manager, Sales, and Finance",3/31/2020,12:07pm
Amplitude,"Hiring,Hiring freeze",1 report of hiring freeze and sales offer rescinded. +1 report of hiring.,4/6/2020,3:59pm
Ampush,Hiring,,4/1/2020,11:22am
AMR ,Hiring,,4/7/2020,2:09pm
Amrock,Hiring,,3/30/2020,8:50pm
Amtrak,Hiring,Significantly reduced new job opportunities ,4/4/2020,2:00am
Amul,Hiring,Internships,4/12/2020,2:32pm
amundi,Hiring,,4/3/2020,1:12pm
amunix,Hiring,,3/31/2020,12:06pm
Amura,Hiring,,4/3/2020,2:08am
Amwell,Hiring,entering interview process,4/2/2020,6:16pm
Ana & Robert h Lurie hospital,Hiring,,4/2/2020,3:04pm
"Anaconda, Inc.",Hiring freeze,,3/29/2020,7:10am
Analog Devices (ADI),Hiring freeze,,3/28/2020,6:37am
Analog Federal,Hiring,Software roles,4/2/2020,5:03pm
Analysis Group,Hiring freeze,,4/1/2020,6:17pm
Anaplan,"Offers rescinded,Hiring",,3/31/2020,10:11pm
Anark,Hiring,Still hiring software engineers,3/30/2020,7:12pm
Ancestry,Hiring freeze,"For most of roles, except mission-critical roles ( 5 reports)",3/31/2020,6:41pm
AND Digital,Hiring,,3/31/2020,7:13am
Andela,Hiring,,3/29/2020,12:58am
Andersen Corporation,Hiring freeze,,4/1/2020,6:44pm
Anderson Merchandisers,Hiring,The requirement has increased suddenly. More merchandiser staff is required for Walmart.,3/31/2020,11:43am
andium,Hiring,,4/9/2020,11:52am
"AndPlus, LLC",Hiring,"Data Science, Sales, Marketing, React.js, .NET, Java",4/1/2020,3:37pm
AngelList,Layoffs,"Across the board (all Venture, Talent, Product Hunt) - 6 reports",3/31/2020,10:12pm
AnheuserBusch ,Layoffs,,3/30/2020,3:28pm
Anika therapeutics,Hiring,,4/13/2020,7:35am
Animoto,Hiring,We are currently only looking for Product Manager and Director of Customer Acquisition,3/30/2020,10:23am
AnitaB.org,Hiring freeze,All but one position pulled down from site.,4/7/2020,6:37pm
Anitian,Hiring,,3/30/2020,7:14pm
Ankr,Hiring,"VP of Engineering, Product Manager",4/1/2020,2:14am
Ankura,Hiring freeze,Report of a hiring freeze and 2 claims of layoffs. ,4/15/2020,2:39pm
Ankura Consulting,Hiring freeze,Our construction business analysis in Miami (bilingual) and Phoenix office ,4/14/2020,11:00am
Ann Taylor/LOFT,"Layoffs,Hiring freeze",Claims of layoffs and reports of a hiring freeze. See below:,4/13/2020,1:24pm
Anomaly ,Layoffs,10% downsize (advertising agency),3/31/2020,10:40am
Ansys,Hiring,"Pre-Sales Engineers, Sales Team",3/30/2020,9:08am
Antaes Asia Pte Ltd,Hiring,Several of Tech positions/Developers,4/5/2020,11:36pm
Antares,Hiring,,3/31/2020,12:46pm
Anthem,"Hiring,Hiring freeze",Hiring across the board. Additional report of a hiring freeze noting Internship (4/9).,4/10/2020,4:16pm
Anthesis Group,Hiring freeze,,4/1/2020,8:07pm
Anvyl,Hiring,Hiring for full-stack product engineers,3/29/2020,5:59pm
Any,Hiring,Security,4/7/2020,9:50pm
Anyscale,Hiring,Hiring for all roles.,3/28/2020,1:03pm
Anyvision,"Layoffs,Hiring freeze",,3/29/2020,7:12am
Aon,Hiring freeze,+6 reports of freeze,3/28/2020,4:08pm
Apartment List,Hiring freeze,2 reports of hiring,3/29/2020,2:08pm
APCO Worldwide,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. Details below:,4/16/2020,4:35pm
